rank,credible,passed_at,address,postcode_district,postcode_sector,property_type,beds,target_beds,asking,offer,refurb,after_works_value,after_works_value_uncapped,current_value_cmv,implied_uplift_pct,money_in,money_out,left_in,left_in_pct,max_price_that_passes,discount_needed_pct,n_comps_used,comps_detail,gdv_confidence,flags,uplift_score,days_on_market,agent_name,agent_phone,listing_url
12,True,10pct_off,"Bell Green Road, Coventry, West Midlands, CV6, CV6 7GX",CV6,CV6 7,House,3,4,140000,126000,46200,232474,232474,,,192580,174356,18224,9.5,127016,9.3,5,363 BELL GREEN ROAD sold 2024-06-10 for 250000 (adj 269360) ; 7 HEDDLE GROVE sold 2025-08-29 for 225000 (adj 232474) ; 15 ROCK CLOSE sold 2024-08-16 for 240000 (adj 256959) ; 27 ROCK CLOSE sold 2024-06-20 for 185000 (adj 199139) ; 5 ROCK CLOSE sold 2024-04-02 for 165000 (adj 178937),low,low_confidence_valuation,1,,Bairstow Eves,02475424211,https://www.rightmove.co.uk/properties/89728218
13,False,full_asking,"Fully Managed Urban Manchester Investment – 6% Rental Yields | Turnkey Investment Opportunity, M2 4WU",M2,M2 4,Apartment,1,2,140000,140000,33075,455849,455849,,,195275,341887,-146612,-75.1,301982,-115.7,5,"FLAT 23 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2026-03-25 for 449920 (adj 455849) ; FLAT 41 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-12-12 for 405000 (adj 459389) ; FLAT 33 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-11-23 for 330000 (adj 374987) ; FLAT 42 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-10-26 for 405000 (adj 461427) ; FLAT 16 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-05-27 for 390000 (adj 450744)",low,awv_over_2x_asking|low_confidence_valuation,5,,RW Invest,01514534672,https://www.rightmove.co.uk/properties/91672989
14,False,full_asking,"Fully Managed Urban Manchester Investment – 6% Rental Yields | Turnkey Investment Opportunity, M2 4WU",M2,M2 4,Apartment,1,2,149950,149950,33075,455849,455849,,,206518,341887,-135368,-65.5,301982,-101.4,5,"FLAT 23 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2026-03-25 for 449920 (adj 455849) ; FLAT 41 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-12-12 for 405000 (adj 459389) ; FLAT 33 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-11-23 for 330000 (adj 374987) ; FLAT 42 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-10-26 for 405000 (adj 461427) ; FLAT 16 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-05-27 for 390000 (adj 450744)",low,awv_over_2x_asking|low_confidence_valuation,5,,RW Invest,01514534672,https://www.rightmove.co.uk/properties/91723764
15,False,full_asking,"Fully Managed Urban Manchester Investment – 6% Rental Yields | Turnkey Investment Opportunity, M2 4WU",M2,M2 4,Apartment,1,2,150000,150000,33075,455849,455849,,,206575,341887,-135312,-65.5,301982,-101.3,5,"FLAT 23 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2026-03-25 for 449920 (adj 455849) ; FLAT 41 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-12-12 for 405000 (adj 459389) ; FLAT 33 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-11-23 for 330000 (adj 374987) ; FLAT 42 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-10-26 for 405000 (adj 461427) ; FLAT 16 THE CHAMBERS, 2 - 6 BOOTH STREET sold 2022-05-27 for 390000 (adj 450744)",low,awv_over_2x_asking|low_confidence_valuation,5,,RW Invest,01514534672,https://www.rightmove.co.uk/properties/91672917
16,False,full_asking,"The Spires, Coventry, CV3 1AZ",CV3,CV3 1,Semi-Detached,2,3,54000,54000,39405,330479,330479,268911,22.9,105845,247859,-142015,-134.2,205305,-280.2,3,29 SURREY DRIVE sold 2021-08-27 for 240000 (adj 284605) ; 37 SHROPSHIRE DRIVE sold 2025-10-06 for 321000 (adj 330479) ; 20 MIDDLESEX ROAD sold 2023-03-14 for 317500 (adj 357031),low,awv_over_2x_asking|cmv_far_above_asking|low_confidence_valuation|only_3_comps,4,,Shipways,02039742117,https://www.rightmove.co.uk/properties/91058952
17,False,full_asking,"COPPICE GREEN, Pickford Green, Coventry, West Midlands, CV5, CV5 9AQ",CV5,CV5 9,Terraced,2,3,84000,84000,38325,236792,236792,266395,-11.1,138065,177594,-39529,-28.6,137170,-63.3,3,65 UPPER EASTERN GREEN LANE sold 2025-10-06 for 230000 (adj 236792) ; 47 UPPER EASTERN GREEN LANE sold 2023-07-19 for 217500 (adj 241673) ; 79 UPPER EASTERN GREEN LANE sold 2021-09-17 for 217000 (adj 256822),low,awv_over_2x_asking|cmv_far_above_asking|low_confidence_valuation|only_3_comps,5,,John Payne Estate Agents New Homes and Land,01676939511,https://www.rightmove.co.uk/properties/88322790
18,False,full_asking,"11 Wellington Crescent,  Leeds, LS13 2NW",LS13,LS13 2,Semi-Detached,3,4,81250,81250,46200,224240,224240,229182,-2.2,142888,168180,-25292,-17.7,120871,-48.8,5,205 BROAD LANE sold 2025-02-17 for 290000 (adj 305130) ; 207 BROAD LANE sold 2022-09-02 for 187000 (adj 214140) ; 21 WOOD LANE sold 2025-01-17 for 212500 (adj 224240) ; 24 BELLMOUNT PLACE sold 2023-07-21 for 185000 (adj 205522) ; 3 BELLMOUNT GARDENS sold 2021-10-25 for 224000 (adj 264159),low,awv_over_2x_asking|cmv_far_above_asking|low_confidence_valuation,4,,Stonebridge Shaw,02038403549,https://www.rightmove.co.uk/properties/90980835
19,False,full_asking,"Dundonald Street, Birkenhead, CH41",CH41,,Semi-Detached,2,3,80000,80000,38325,211886,211886,163409,29.7,133625,158914,-25290,-18.9,118691,-48.4,4,29 CARRINGTON AVENUE sold 2026-03-27 for 190000 (adj 192467) ; 31 CARRINGTON AVENUE sold 2025-01-03 for 205000 (adj 216611) ; 9 CARRINGTON AVENUE sold 2024-12-06 for 200000 (adj 211886) ; 19 CARRINGTON AVENUE sold 2023-09-01 for 192000 (adj 212456),low,awv_over_2x_asking|cmv_far_above_asking|low_confidence_valuation,3,,Clive Watkin,01514539582,https://www.rightmove.co.uk/properties/91296348
20,False,full_asking,"Howick Avenue, Newcastle Upon Tyne, NE3 2NA",NE3,NE3 2,House,3,4,117500,117500,52250,255715,255715,,,189175,191786,-2611,-1.4,138802,-18.1,5,10 HOWICK AVENUE sold 2024-08-23 for 168000 (adj 179753) ; 5 FERN AVENUE sold 2024-02-26 for 235000 (adj 255715) ; 7 PINE AVENUE sold 2022-08-19 for 280000 (adj 321061) ; 9 LAUREL AVENUE sold 2023-12-07 for 250000 (adj 274120) ; 15 LAUREL AVENUE sold 2022-03-11 for 185000 (adj 215370),low,awv_over_2x_asking|low_confidence_valuation,5,,Dean and Co Estate Agents,01917439082,https://www.rightmove.co.uk/properties/175032758
21,False,full_asking,"Cundy Street, Walkley, S6 2WT",S6,S6 2,Terraced,3,4,140000,140000,46200,268698,268698,238444,12.7,208400,201524,6876,3.3,153730,-9.8,5,111 WALKLEY STREET sold 2025-10-31 for 280000 (adj 287590) ; 126 WALKLEY STREET sold 2025-05-16 for 257500 (adj 268698) ; 161 WALKLEY STREET sold 2025-03-31 for 251000 (adj 263053) ; 148 WALKLEY STREET sold 2025-03-14 for 257500 (adj 270297) ; 130 WALKLEY STREET sold 2025-02-21 for 252500 (adj 265573),high,cmv_far_above_asking,4,,Cocker and Carr Ltd,01146975311,https://www.rightmove.co.uk/properties/90946146
22,False,full_asking,"Portland Road, Blackpool, Lancashire, FY1",FY1,,Semi-Detached,4,5,35000,35000,54075,137072,176476,105440,30.0,97675,102804,-5129,-5.3,48335,-38.1,5,43 PORTLAND ROAD sold 2022-06-24 for 145000 (adj 167143) ; 30 ST ALBANS ROAD sold 2025-05-30 for 145000 (adj 151106) ; 21 GLOUCESTER AVENUE sold 2025-07-10 for 170000 (adj 176476) ; 13 GLOUCESTER AVENUE sold 2024-04-12 for 160000 (adj 173351) ; 161 PALATINE ROAD sold 2025-08-22 for 192000 (adj 198509),low,awv_over_2x_asking|cmv_far_above_asking|low_confidence_valuation,1,,Entwistle Green,01253835054,https://www.rightmove.co.uk/properties/91184151
23,False,full_asking,"Penns Lane, Sutton Coldfield, B72",B72,,Flat,2,3,94950,94950,33380,186294,246586,143303,30.0,145274,139720,5554,3.8,103933,-9.5,4,"FLAT 26 RILAND COURT, 43 PENNS LANE sold 2023-01-19 for 180000 (adj 203444) ; 147A SUTTON ROAD sold 2023-04-28 for 200000 (adj 223951) ; FLAT 5 BLAKELEY COURT BEARDMORE ROAD sold 2025-03-18 for 235000 (adj 246586) ; FLAT 5 BLAKELEY COURT BEARDMORE ROAD sold 2023-06-23 for 260000 (adj 289604)",low,cmv_far_above_asking|low_confidence_valuation,4,,Green and Company,01213876667,https://www.rightmove.co.uk/properties/91566555
24,False,full_asking,"Kenilworth Hall, Bridge Street, Kenilworth, CV8 1BQ",CV8,CV8 1,Apartment,2,3,125000,125000,38325,229103,270569,176233,30.0,183575,171827,11748,6.4,131499,-5.2,5,3 HOLMES COURT BRIDGE STREET sold 2023-07-14 for 215000 (adj 239007) ; FLAT 12 THE ABBEY PRIORY ROAD sold 2023-09-29 for 350000 (adj 386270) ; FLAT 8 THE ABBEY PRIORY ROAD sold 2023-02-15 for 240000 (adj 270569) ; FLAT 1 15 ABBEY HILL sold 2022-06-06 for 265000 (adj 305986) ; 11A HAWKESWORTH DRIVE sold 2021-11-19 for 183000 (adj 215301),low,cmv_far_above_asking|low_confidence_valuation,5,,Julie Philpot,01926895926,https://www.rightmove.co.uk/properties/167666165
25,False,10pct_off,"Clifton Crescent, Handsworth, Sheffield, S9 4BD",S9,S9 4,Semi-Detached,3,4,140000,126000,46200,239000,239000,195535,22.2,192580,179250,13330,6.9,131829,5.8,5,45 CLIFTON CRESCENT sold 2026-06-08 for 239000 (adj 239000) ; 31 CLIFTON CRESCENT sold 2023-11-30 for 215000 (adj 235899) ; 71 CLIFTON CRESCENT sold 2022-12-02 for 200000 (adj 227073) ; 57 CLIFTON CRESCENT sold 2022-02-22 for 175000 (adj 204055) ; 47 CLIFTON CRESCENT sold 2021-09-13 for 194500 (adj 230279),low,cmv_far_above_asking|low_confidence_valuation,5,,Hunters,01146970803,https://www.rightmove.co.uk/properties/91554633
26,False,10pct_off,"Huddleston Close, Wirral, Merseyside, CH49, CH49 8JP",CH49,CH49 8,Semi-Detached,3,4,65000,58500,46200,145237,145237,152786,-4.9,117635,108928,8707,7.4,61559,5.3,5,118 GRASSWOOD ROAD sold 2025-09-26 for 129000 (adj 132934) ; 160 NEW HEY ROAD sold 2026-01-21 for 142500 (adj 145237) ; 160 NEW HEY ROAD sold 2022-05-13 for 130000 (adj 150446) ; 33 GRASSWOOD ROAD sold 2022-07-21 for 133500 (adj 153496) ; 7 GRASSWOOD ROAD sold 2022-02-17 for 142848 (adj 166643),low,awv_over_2x_asking|cmv_far_above_asking|low_confidence_valuation,1,,Redwing,01514531898,https://www.rightmove.co.uk/properties/90288213
27,False,full_asking,"Whernside Walk, Ryton, NE40 3JX",NE40,NE40 3,Terraced,3,4,68000,68000,46200,156574,156574,,,128180,117430,10750,8.4,70071,-3.0,4,41 SILVERMERE DRIVE sold 2024-05-01 for 150000 (adj 162226) ; BEDE COTTAGE HEXHAM OLD ROAD sold 2025-04-03 for 130000 (adj 136204) ; 51 MIDDLE ROW sold 2024-03-22 for 158000 (adj 171523) ; 29 ALEXANDRA GARDENS sold 2023-05-11 for 140000 (adj 156574),low,awv_over_2x_asking|low_confidence_valuation,1,,Gilmore Estates,01661525168,https://www.rightmove.co.uk/properties/175061297
